location_id,lat,lon,distance_to_coast_km,elevation_m,historical_flood
N1,21.2814,92.1827,18.929992581677396,,0
N2,21.1997,92.2028,21.024251694473193,,0
N3,21.1937,92.1926,19.96762994376112,,0
N4,21.1965,92.1817,18.837225503423127,,1
N5,21.1977,92.1813,18.79560399087517,,1
N6,21.1981,92.1812,18.785186000994855,,1
N7,21.1982,92.1959,20.30913583179678,,0
N8,21.1984,92.1883,19.52121040517097,,0
N9,21.199,92.1999,20.7237072838511,,0
N10,21.1992,92.2041,21.159094138208975,,0
N11,21.1992,92.2008,20.816982422217755,,0
N12,21.1993,92.2041,21.15907981471441,,0
N13,21.2024,92.2042,21.169002551488024,,0
N14,21.2038,92.1789,18.546027027365188,,1
N15,21.204,92.2042,21.16877322253415,,0
N16,21.211,92.2077,21.53058647954166,,0
N17,21.2141,92.1951,20.224021410136626,,0
N18,21.2442,92.2144,22.22011966671519,,0
N19,21.2702,92.1892,19.604965593225273,,0
N20,21.2833,92.199,20.618608782760507,,0
N21,21.2917,92.1771,18.348477805933495,,0
N22,21.2951,92.1856,19.22867702534924,,0
N23,21.301,92.1925,19.94273556138396,,0
N24,21.3036,92.1957,20.27389238428356,,0
N39,21.182,92.1817,18.839073636993923,,1
N40,21.1815,92.1835,19.025766091900312,,1
N41,21.1812,92.1804,18.70438786512717,,1
N42,21.1802,92.1797,18.63193587723157,,1
N43,21.3168,92.0914,9.467896434159204,,1
N44,21.3148,92.0885,9.167617593614104,,1
N45,21.3117,92.061,6.319056293238634,,0
N46,21.3214,92.1081,11.197456574634618,,1
N47,21.3122,92.0988,10.234764425603998,,1
N48,21.3105,92.0969,10.0380582274729,,1
N49,21.3253,92.0819,8.483324092376202,,0
N50,21.3242,92.0812,8.410880087976205,,0
N51,21.3135,92.0508,5.262362719559532,,0
N52,21.3144,92.0547,5.666328275924625,,0
N53,21.3388,92.1113,11.52755904090913,,1
N54,21.3364,92.1102,11.413816654426832,,1
N55,21.3316,92.1061,10.989524262602444,,1
N56,21.3302,92.1046,10.834262082179848,,1
N57,21.3247,92.0993,10.285684025987097,,1
N58,21.314,92.0952,9.86171692397716,,1
N59,21.3415,92.0802,8.306318269841478,,0
N60,21.3082,92.0972,10.069293474792882,,1
N61,21.3251,92.082,8.493693815735085,,0
N62,21.3018,92.097,10.0490125067956,,1
N63,21.3021,92.0941,9.748558218324138,,1
N64,21.324,92.0981,10.161434196570704,,1
N65,21.3255,92.0862,8.92871232429673,,1
N66,21.3356,92.1132,11.724601547572568,,1
N67,21.3342,92.1066,11.041117105409516,,1
N68,21.3273,92.1075,11.134858418339665,,1
N69,21.3233,92.1022,10.58617254041328,,1
N70,21.3281,92.0863,8.93891208847469,,0
N71,21.3098,92.0551,5.707942726448244,,0
N72,21.3364,92.0795,8.234105561760348,,0
N73,21.3358,92.0732,7.581622560597404,,0
N74,21.3187,92.0542,5.614369263668252,,0
N75,21.3236,92.0467,4.837311683420788,,0
N76,21.313,92.069,7.147721704371413,,0
N77,21.3095,92.0691,7.158251303568497,,1
N78,21.1372,92.2017,20.919049494200024,,1
N79,21.1315,92.1985,20.587957476566256,,1
N80,21.136,92.1897,19.674644777084534,,1
N81,21.1303,92.1918,19.89321020061795,,1
N82,21.1278,92.1892,19.62387300379317,,1
N83,21.1283,92.2064,21.4077890260428,,1
N84,21.126,92.1974,20.47462756789559,,1
N85,21.1265,92.2047,21.23172295138336,,1
N86,21.1255,92.2036,21.11777209592819,,1
N87,21.1244,92.2005,20.796388613296717,,1
N88,21.1204,92.1961,20.340557649687867,,1
N89,21.1156,92.1999,20.735385165290825,,1
N90,21.1113,92.2018,20.933076458105056,,1
N91,21.1175,92.1958,20.30983707233557,,1
N92,21.1099,92.1994,20.684315309592325,,1
N93,21.109,92.1993,20.67406740436058,,1
N94,21.1074,92.1989,20.63279646989384,,1
N95,21.1094,92.2032,21.078570815114983,,1
N96,21.1031,92.2107,21.85749679493061,,1
N97,21.0995,92.2056,21.328952630440256,,1
N98,21.1102,92.1957,20.300463054880343,,1
N99,21.0971,92.2092,21.70276748085503,,1
N100,21.0892,92.2205,22.876265356878314,,1
N101,21.0883,92.2169,22.502911683075276,,1
N102,21.0952,92.17,17.63631817773608,,0
N103,21.0758,92.2148,22.28691556167728,,1
N104,21.0612,92.239,24.800259001825367,,1
N105,21.0586,92.2301,23.87715209389532,,1
N106,21.0579,92.2308,23.949902753999407,,1
N107,21.0578,92.2309,23.96029576092809,,1
N108,21.0574,92.231,23.970737105395855,,1
N109,21.0554,92.2366,24.55217572886052,,1
N110,21.0768,92.1473,15.283243539288138,,1
N111,21.0482,92.2288,23.743911906602666,,1
N112,21.0439,92.2444,25.36354712100449,,1
N113,21.04,92.2406,24.969841478056015,,1
N114,21.0405,92.2404,24.9490014204416,,1
N115,21.04,92.245,25.426480219199053,,1
N116,21.0384,92.237,24.596492159514053,,1
N117,21.0386,92.2284,23.70392954991462,,1
N118,21.0381,92.2414,25.053186264647792,,1
N119,21.0382,92.2285,23.71437147992565,,1
N120,21.0407,92.1761,18.27584626924664,,1
N121,21.0383,92.2284,23.703977288308383,,1
N122,21.0348,92.2358,24.472544352822975,,1
N123,21.0333,92.2491,25.853147185448982,,1
N124,21.0319,92.2321,24.089008110441284,,1
N125,21.0252,92.2487,25.81303561678808,,1
N126,21.0239,92.2464,25.57453741464615,,1
N127,21.0343,92.2359,24.483005030577445,,1
N128,21.0219,92.1964,20.385173351346896,,1
N129,21.0239,92.1951,20.249969294680593,,1
N130,21.0202,92.2536,26.322498419485804,,1
N131,21.0214,92.2466,25.59572517587349,,1
N132,21.0203,92.2467,25.60629353893961,,1
N133,21.0214,92.239,24.8068870799128,,1
N134,21.0174,92.2387,24.77641337499485,,1
N135,21.0151,92.2434,25.26465018738196,,1
N136,21.0141,92.2479,25.731917633081142,,1
N137,21.0094,92.2509,26.044136913690483,,1
N138,21.009,92.2511,26.06496736531748,,1
N139,21.0064,92.2533,26.29379241358533,,1
N140,21.006,92.2537,26.335384981043507,,1
N141,21.0047,92.2548,26.44980113258424,,1
N142,21.005,92.2608,27.072583330079393,,1
N143,21.0024,92.2565,26.62668188224452,,1
N144,21.0046,92.2493,25.87888489395233,,1
N145,21.0021,92.2524,26.201122960199985,,1
N146,21.0002,92.2579,26.772407299635585,,1
N147,21.0016,92.2632,27.32233995170257,,1
N148,21.0005,92.2508,26.035309400797203,,1
N149,20.9974,92.2484,25.78670326538947,,1
N150,20.9964,92.2525,26.212504704174982,,1
N151,20.9965,92.2479,25.73495282307954,,1
N152,20.9955,92.2597,26.960112748251383,,1
N153,20.9953,92.2585,26.83557369482762,,1
N154,20.992,92.2388,24.79101252298373,,1
N155,20.9912,92.2592,26.908981430227392,,1
N156,20.9917,92.2454,25.476242311577415,,1
N157,20.9912,92.2479,25.73586635344249,,1
N158,20.991,92.2493,25.881242709335993,,1
N159,20.9904,92.2511,26.068215587997503,,1
N160,20.9907,92.2573,26.711821433063427,,1
N161,20.9913,92.2454,25.476310554671272,,1
N162,20.9867,92.246,25.53938643520064,,1
N163,20.9794,92.2485,25.800193678019895,,1
N164,20.9768,92.2495,25.90446809034393,,1
N165,20.96,92.2494,25.896995408111454,,1
N166,20.8984,92.247,25.658334174068926,,1
N167,20.89,92.2535,26.335027209825885,,1
N168,20.8785,92.2842,29.52657879643588,,1
N169,20.8758,92.2657,27.60504264944937,,1
N170,20.8747,92.2718,28.23901199904752,,1
N171,20.8728,92.3029,31.47058371893562,,1
N172,20.8708,92.2701,28.063116729126172,,1
N173,20.868,92.303,31.48197903701541,,1
N174,20.8679,92.302,31.37809902438038,,1
N175,20.8743,92.2806,29.153376751285347,,1
N176,20.8671,92.2804,29.13399329994823,,1
N177,20.867,92.2847,29.5807895098656,,1
N178,20.8666,92.2863,29.747111213701196,,1
N179,20.8642,92.2966,30.81779243458182,,1
N180,20.8637,92.2981,30.973750734177784,,1
N181,20.8636,92.3078,31.981639475665546,,1
N182,20.8634,92.2991,31.077716617245,,1
N183,20.8632,92.3007,31.244004697434267,,1
N184,20.8632,92.3012,31.295956801821298,,1
N185,20.8632,92.3033,31.514155639423013,,1
N186,20.8634,92.308,32.00246283801801,,1
N187,20.8649,92.282,29.30066458321955,,1
N188,20.8645,92.2933,30.474850001855405,,1
N189,20.8616,92.3118,32.397686192361256,,1
N190,20.8616,92.3033,31.51449103539449,,1
N191,20.8628,92.291,30.236214308319425,,1
N192,20.8615,92.2896,30.09100822157734,,1
N193,20.8623,92.2852,29.63366682899492,,1
N194,20.8619,92.299,31.067636189543443,,1
N195,20.8594,92.3031,31.49417079786892,,1
N196,20.86,92.3009,31.265450998792456,,1
N197,20.8581,92.303,31.48405230860919,,1
N198,20.8573,92.3026,31.44265649044049,,1
N199,20.8588,92.2994,31.10983964622911,,1
N200,20.8542,92.3002,31.193919596046772,,1
N201,20.8527,92.2971,30.872105146974505,,1
N202,20.8522,92.2944,30.591645878510384,,1
N203,20.8547,92.2938,30.5287913579479,,1
N204,20.852,92.2936,30.508556993631384,,1
N205,20.8602,92.2887,29.997752746040863,,1
N206,20.8506,92.2965,30.810188393503015,,1
N207,20.8484,92.2958,30.73789885192829,,1
N208,20.8456,92.3014,31.320402544226603,,1
N209,20.8524,92.3013,31.308595743052535,,1
N210,20.8455,92.3014,31.320423359082632,,1
N211,20.8436,92.3027,31.4559118972262,,1
N212,20.8447,92.3006,31.23745628255058,,1
N213,20.843,92.3106,32.276990793107196,,1
N214,20.8428,92.3098,32.19389904899758,,1
N215,20.8417,92.2971,30.874362286058226,,1
N216,20.8413,92.2955,30.70817339978833,,1
N217,20.8379,92.3091,32.12220197470723,,1
N218,20.8406,92.2957,30.72910018598127,,1
N219,20.8386,92.3118,32.40263983562594,,1
N220,20.83,92.3132,32.5499887146448,,1
N221,20.8291,92.3178,33.02825091134998,,1
N222,20.8302,92.3152,32.75779947767617,,1
N223,20.8288,92.3132,32.5502480797836,,1
N224,20.8287,92.2932,30.47170900288362,,1
N225,20.8395,92.2833,29.44070952201685,,1
N226,20.8266,92.3128,32.509151753220365,,1
N227,20.8284,92.2912,30.263913211588907,,1
N228,20.8265,92.3127,32.49878038159065,,1
N229,20.8252,92.3057,31.77154773201884,,1
N230,20.8253,92.3057,31.7715266398466,,1
N231,20.8251,92.3131,32.540654647526544,,1
N232,20.826,92.3234,33.610938117219035,,1
N233,20.8234,92.3065,31.855072727038063,,1
N234,20.825,92.3131,32.54067625007529,,1
N235,20.8222,92.3112,32.343809299689354,,1
N236,20.8232,92.3075,31.95904684628483,,1
N237,20.8217,92.3109,32.312736783144615,,1
N238,20.8212,92.3063,31.83475126454794,,1
N239,20.8256,92.2998,31.158275337727147,,1
N240,20.8233,92.297,30.86774214405778,,1
N241,20.8226,92.3134,32.572374353593865,,1
N242,20.8211,92.3063,31.83477239414224,,1
N243,20.8196,92.3095,32.16767912306719,,1
N244,20.8198,92.3072,31.92858782650615,,1
N245,20.8194,92.3055,31.751984022390296,,1
N246,20.8205,92.3032,31.512704725724824,,1
N247,20.8172,92.3094,32.15779786996134,,1
N248,20.8173,92.3066,31.866756016364523,,1
N249,20.819,92.304,31.59616622304992,,1
N250,20.8205,92.2945,30.608481593373018,,1
N251,20.8179,92.2991,31.087112993424316,,1
