location_id,risk_label,risk_cluster,risk_score_knn
N1,high,1,0.0
N2,high,1,0.0
N3,high,1,0.0
N4,high,1,1.0
N5,high,1,1.0
N6,high,1,1.0
N7,high,1,0.0
N8,high,1,0.6667
N9,high,1,0.0
N10,high,1,0.0
N11,high,1,0.0
N12,high,1,0.0
N13,high,1,0.0
N14,low,1,1.0
N15,high,1,0.0
N16,high,1,0.0
N17,high,1,0.0
N18,high,1,0.0
N19,high,1,0.0
N20,high,1,0.0
N21,low,1,0.6667
N22,high,1,0.0
N23,high,1,0.0
N24,high,1,0.0
N39,high,1,1.0
N40,high,1,1.0
N41,high,1,1.0
N42,low,1,1.0
N43,low,2,1.0
N44,low,2,1.0
N45,low,2,0.3333
N46,low,2,1.0
N47,low,2,1.0
N48,low,2,1.0
N49,low,2,0.3333
N50,low,2,0.3333
N51,low,2,0.0
N52,low,2,0.0
N53,low,2,0.6667
N54,low,2,1.0
N55,low,2,1.0
N56,low,2,1.0
N57,low,2,1.0
N58,low,2,1.0
N59,low,2,0.0
N60,low,2,1.0
N61,low,2,0.3333
N62,low,2,1.0
N63,low,2,1.0
N64,low,2,1.0
N65,low,2,0.3333
N66,low,2,1.0
N67,low,2,1.0
N68,low,2,1.0
N69,low,2,1.0
N70,low,2,0.6667
N71,low,2,0.0
N72,low,2,0.0
N73,low,2,0.0
N74,low,2,0.0
N75,low,2,0.0
N76,low,2,0.6667
N77,low,2,0.3333
N78,high,1,1.0
N79,high,1,1.0
N80,high,1,1.0
N81,high,1,1.0
N82,high,1,1.0
N83,high,1,1.0
N84,high,1,1.0
N85,high,1,1.0
N86,high,1,1.0
N87,high,1,1.0
N88,high,1,1.0
N89,high,1,1.0
N90,high,1,1.0
N91,high,1,1.0
N92,high,1,1.0
N93,high,1,1.0
N94,high,1,1.0
N95,high,1,1.0
N96,high,1,1.0
N97,high,1,1.0
N98,high,1,1.0
N99,high,1,1.0
N100,high,1,1.0
N101,high,1,1.0
N102,low,1,0.0
N103,high,1,1.0
N104,high,0,1.0
N105,high,0,1.0
N106,high,0,1.0
N107,high,0,1.0
N108,high,0,1.0
N109,high,0,1.0
N110,low,1,1.0
N111,high,0,1.0
N112,high,0,1.0
N113,high,0,1.0
N114,high,0,1.0
N115,high,0,1.0
