from_id,to_id,distance_km,edge_type
N1,N19,1.4158355484170733,real
N2,N12,0.1419208299763692,real
N3,N1461,2.0932118767498125,real
N4,N1462,0.8105530233265446,real
N4,N1463,1.003388927118216,real
N5,N4,0.1397292405945927,real
N6,N5,0.0456701975922244,real
N7,N4,1.4842225983352495,real
N8,N6,0.736818941324956,real
N9,N8,1.2044280800653282,real
N9,N7,0.4241165508583712,real
N10,N3,1.3399375491078531,real
N11,N9,0.0959170165059806,real
N12,N10,0.0111194926642146,real
N2,N11,0.2146648678942612,real
N13,N12,0.3448601286451122,real
N14,N6,0.6771776074328703,real
N15,N13,0.1779118826313253,real
N15,N16,0.858774461382859,real
N11,N17,1.7590203192118838,real
N16,N1464,0.9256726199862614,real
N17,N1465,1.1302239508902143,real
N18,N15,4.593366619257464,real
N19,N14,7.460119023908062,real
N19,N1466,3.8737601358903944,real
N20,N1467,1.4831431818412908,real
N1,N20,1.702035132722483,real
N21,N1,1.2838896934929864,real
N21,N22,0.9583566832069568,real
N22,N23,0.97026024477648,real
N23,N24,0.4398674936649804,real
N24,N1468,0.600662696043843,real
N39,N40,0.1947338212850958,real
N40,N1472,0.2079883291826142,real
N41,N42,0.1327852184327094,real
N42,N1473,0.2296158064128425,real
N43,N44,0.3737657973261467,real
N44,N1474,0.3999578429151218,real
N45,N52,0.7183633429766086,real
N46,N1475,0.8581030161224783,real
N47,N46,1.4051992285630004,real
N48,N47,0.2728962528657416,real
N49,N50,0.1421904640002579,real
N50,N1476,2.146828754091746,real
N51,N1477,0.996393914819642,real
N52,N51,0.4162094736067547,real
N53,N54,0.2901697791636037,real
N54,N55,0.6820622806415136,real
N55,N56,0.2199380386140036,real
N56,N57,0.82182281111894,real
N57,N58,1.2633136064539157,real
N58,N1478,0.0303941465394095,real
N59,N49,1.8099430142242203,real
N48,N60,0.257629656804162,real
N60,N667,1.4836933618280626,real
N58,N48,0.4271715157583341,real
N43,N58,0.5018821305876543,real
N61,N43,1.3415882939360084,real
N49,N61,0.0245329139995975,real
N62,N63,0.3022803864556375,real
N63,N45,3.5912920325655397,real
N64,N65,1.2438579281276567,real
N65,N1479,0.3556682335173864,real
N54,N66,0.3232045883763932,real
N66,N1480,1.5393568998516851,real
N52,N74,0.4809352603925501,real
N55,N67,0.2937086152963269,real
N67,N1481,0.9012147037376822,real
N59,N1482,0.257959095549521,real
N56,N68,0.4406944113508613,real
N68,N1483,1.7118117468630394,real
N57,N69,0.3383305995419645,real
N69,N46,0.6466305250785971,real
N61,N70,0.5564681668474148,real
N70,N1481,2.6543430627193145,real
N51,N71,0.6063710489087928,real
N71,N1484,0.9939812359904192,real
