location_id,nearest_shelter_id,path,total_cost,path_length_km,num_bridged_edges_used,num_shelter_connector_edges_used
N1,CS_107,"[""N1"", ""N19"", ""N14"", ""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",25.457208163365348,18.125151466516765,2,1
N2,CS_107,"[""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",8.8136931909941,6.320190380968231,2,1
N3,CS_107,"[""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",7.3207153192456635,4.827212509219795,2,1
N4,CS_107,"[""N4"", ""N7"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",11.774725523755587,8.539111414562093,2,1
N5,CS_107,"[""N5"", ""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",11.903932964325218,8.617689484350981,2,1
N6,CS_107,"[""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",11.835427667936882,8.572019286758756,2,1
N7,CS_107,"[""N7"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",9.548391626252712,7.054888816226844,2,1
N8,CS_107,"[""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",10.730199255949447,7.835200345433801,2,1
N9,CS_107,"[""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",9.12427507539434,6.630772265368472,2,1
N10,CS_107,"[""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",8.660652868353516,6.167150058327648,2,1
N11,CS_107,"[""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",9.02835805888836,6.534855248862492,2,1
N12,CS_107,"[""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",8.67177236101773,6.178269550991862,2,1
N13,CS_107,"[""N13"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",9.016632489662841,6.523129679636973,2,1
N14,CS_107,"[""N14"", ""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",12.851194079086186,9.249196894191629,2,1
N15,CS_107,"[""N15"", ""N13"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",9.194544372294168,6.7010415622682995,2,1
N16,CS_107,"[""N16"", ""N15"", ""N13"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",10.053318833677025,7.559816023651159,2,1
N17,CS_107,"[""N17"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",10.787378378100245,8.293875568074377,2,1
N18,CS_107,"[""N18"", ""N15"", ""N13"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",13.787910991551632,11.294408181525764,2,1
N19,CS_107,"[""N19"", ""N14"", ""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",24.04137261494828,16.709315918099687,2,1
N20,CS_107,"[""N20"", ""N1"", ""N19"", ""N14"", ""N6"", ""N8"", ""N9"", ""N11"", ""N2"", ""N12"", ""N10"", ""N3"", ""N1461"", ""N42"", ""N1473"", ""N1036"", ""N838"", ""N837"", ""N980"", ""N1114"", ""CS_107""]",27.159243296087833,19.827186599239248,2,1
